Feature / Functionality,Primary Source,Primary URL,Access Model,Coverage,Freshness,V1 Use,V2 Upgrade / Note,Secondary Options (URL),Notes / Limitations
Route import (Strava),Strava API v3 (Routes endpoints),https://developers.strava.com/docs/reference/,OAuth 2.0; user-authorized,Global (user data),Near real-time,V1 (optional OAuth),V2: leverage Strava route images/notes where supported; deeper athlete context,,All requests require authentication/scopes.
Route import (MapMyFitness),MapMyFitness Route API,https://developer.mapmyfitness.com/docs/v71_Route/,OAuth 2.0; developer integration,Global (user data),Near real-time,V1 (optional),V2: explore richer route metadata + social context if exposed,,MapMyRide routes are accessible via MapMyFitness platform.
FIT parsing,Garmin FIT SDK,https://developer.garmin.com/fit/cookbook/,SDK / local parsing,File-based,N/A,V1,V2: expand FIT course support + device-specific fields,,Use FIT SDK decode/encode guidance.
OSM surfaces + POIs,OpenStreetMap via Overpass API,https://wiki.openstreetmap.org/wiki/Overpass_API,Public query endpoints,Global,As-updated by OSM community,V1 (core),V2: caching + heuristics; add paid places for reliable hours if needed,,Surface/access tags vary in completeness.
Weather (US),NWS API (api.weather.gov),https://www.weather.gov/documentation/services-web-api,Open data; free; rate-limited,US,Forecast updates per NWS,V1 (core US),V2: time-of-day ride planning + finer sampling,Open-Meteo (global dev): https://open-meteo.com/en/docs,NWS states open data and no fees; rate limits exist.
Weather (global dev),Open-Meteo Forecast API,https://open-meteo.com/en/docs,No key; free for non-commercial; paid/self-host for commercial,Global,Model-dependent,V1 (fallback for non-US in dev),V2: confirm commercial licensing (paid or self-host) OR swap provider,,Treat as dev fallback until licensing aligns with business.
Weather alerts (US),NWS Alerts API,https://www.weather.gov/documentation/services-web-alerts,Open data; free; rate-limited,US,Near real-time alerts,V1 (US),V2: filter alerts by user start time + ETA,,Attach alerts to nearest segments.
Public lands (US),PAD-US (USGS),https://data.usgs.gov/datacatalog/data/USGS%3A652ef930d34edd15305a9b03,Downloads + web services,US,Periodic updates,V1 (core US),V2: add access rules per land manager; improve state/local completeness where needed,Esri USA Federal Lands FeatureServer: https://services.arcgis.com/P3ePLMYs2RVChkJx/arcgis/rest/services/USA_Federal_Lands/FeatureServer,PAD-US includes all federal and most state/local lands.
State trust lands (US),State-specific ArcGIS REST services (examples),https://server.azgeo.az.gov/arcgis/rest/services/azland/State_Trust_Parcels/FeatureServer,Public ArcGIS REST (varies),Selected states,Varies,V1 (best-effort only),V2: build adapter registry per state; normalize schemas + caching,Utah SITLA: https://services9.arcgis.com/7i9gy0fV6OPIVl84/arcgis/rest/services/SITLAStateLandTrust/FeatureServer,State trust is fragmented; treat as best-effort.
Cell coverage (US),FCC National Broadband Map,https://broadbandmap.fcc.gov/,Public datasets/downloads,US,Periodic releases,V1 (US confidence layer),V2: global coverage via OpenCelliD/crowdsourced + user-selected carrier,OpenCelliD: https://www.opencellid.org/ | API wiki: https://wiki.opencellid.org/wiki/API,Coverage != guaranteed on-device service.
Trail conditions,Trailforks API (approval required),https://www.trailforks.com/about/api/,Request access; not guaranteed,Global-ish,User/association reports (dated),V1 (only if approved),V2: deeper integration + caching; add other trail sources,Trailforks mentions RSS/widgets on API page,Always show report date + attribution.
Route imagery (V1),Mapillary API,https://www.mapillary.com/developer/api-documentation,Official API docs,Global (coverage varies),As uploaded,V1 (optional),V2: prefer Strava route/segment imagery where supported; keep Mapillary fallback,Strava (future): https://developers.strava.com/docs/reference/,Documented: V2 aims for Strava-native imagery when available.
Private property borders,Defer (parcel data typically commercial),https://geodata.colorado.gov/datasets/regrid%3A%3Aregrid-usa-nationwide-parcel-boundaries/about,Commercial/partner ecosystems,US,Varies,V1 (out of scope),V2: add parcel layer as premium/region-specific; validate licensing,OSM access tags: https://wiki.openstreetmap.org/wiki/Key:access,Don't promise parcel-accurate borders in V1.
iOverlander / Roadtrippers,Defer unless partnership confirmed,https://roadtrippers.com/autopilot/ | https://play.google.com/store/apps/details?id=com.ioverlander.ioverlander,No confirmed public API found in v1 research,Global,Varies,V1 (out),V2: explore partnerships/licensed datasets,,Track as V2 research items.
